District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Yau Tsim Mong,Kwong Yu Building,,6262
Sha Tin,"Block 7, Jubilee Garden",,6263
Kwai Tsing,"On Hoi House, Cheung On Estate",,6264
Kwun Tong,"Wing Mei House, Yau Chui Court",,6265
Tai Po,"Tower 1, Mont Vert",,6266
Kwai Tsing,"Block 6, Villa Esplanada",,6267
Sha Tin,"Hin Kwai House, Hing Keng Estate",,6268
Wong Tai Sin,"Block 6, Grand View Garden",,6270
Tsuen Wan,Tak Tai Building,,6271
Central & Western,Woodland Court,,6273
Kowloon City,"King Man House, Ho Man Tin Estate",,6274
Kwun Tong,"Tak Shan House, Tak Long Estate",,6275
Wong Tai Sin,"Block 6, Rhythm Garden",,6276
Kwun Tong,"Tak Shan House, Tak Long Estate",,6277
Yau Tsim Mong,Chung Ying Building,,6278
Islands,"Starview, Discovery Bay",,6279
Sai Kung,"Tak Fu House, Hau Tak Estate",,6280
Sai Kung,"Tak Fu House, Hau Tak Estate",,6281
Sai Kung,"Ming Kok House, Ming Tak Estate",,6282
Southern,"Mei Ka Court, South Horizons",,6283
Sham Shui Po,"Mei Shan House, Shek Kip Mei Estate",,6284
Kwun Tong,"Tower 2, Lotus Tower, Kwun Tong Garden Estate",,6285
Southern,"Yee Ngar Court, South Horizons",,6286
Tsuen Wan,"Tower 10, Ocean Pride",,6287
Eastern,Tung Wah Group of Hospitals Fong Shu Chuen Social Services Building,,6289
Wan Chai,Winfield Gardens,,6290
Tsuen Wan,"Block 5, Phase 2, Belvedere Garden",,6291
Yuen Long,"Tower 5, The Spectra",,6292
North,"Block 1, Royal Green",,6293
Central & Western,"Block A, La Hacienda",,6294
Tuen Mun,"Tower 3, Goodview Garden",,6295
Kwun Tong,"Hiu Sing House, Hiu Lai Court",,6296
Tuen Mun,Tuen Mun Court,,6297
Sha Tin,"Block 5, Grandeur Garden",,6298
Sha Tin,"Kam Wai House, Kam Fung Court",,6299
Wong Tai Sin,"Kai Fai House, Choi Wan (2) Estate",,6300
Eastern,"Tung Chi House, Tung Yuk Court",,6301
Eastern,"Tung Chi House, Tung Yuk Court",,6302
Kowloon City,Tung Po Building,,6303
Wan Chai,"Block B, Bay View Mansion",,6304
Sai Kung,"Tower 15, Ocean Shores",,6305
Kwun Tong,"Kai Wong House, Kai Tin Estate",,6306
Kwun Tong,"Lam Fai House, Lam Tin Estate",,6307
Tai Po,"Heng Tai House, Fu Heng Estate",,6308
Yuen Long,"Yuk Ping House, Long Ping Estate",,6310
Tuen Mun,"Siu Hang House, Siu Hong Court",,6311
Wong Tai Sin,"Block 5, Kingsford Terrace",,6313
Kwun Tong,"Tak Cheung House, Tak Long Estate",,6314
Eastern,"Block 5, Aldrich Garden",,6315
Tsuen Wan,"Block 1, Greenview Terrace",,6316
Kwai Tsing,"Seung Lai House, Wah Lai Estate",,6317
Yau Tsim Mong,"Tower 5, Central Park",,6318
Wong Tai Sin,"Tsz Lok Estate, Lok Tin House",,6319
Wong Tai Sin,"Tower 2, Grand View Garden",,6320
Kwun Tong,"Yat Lai House, Yau Lai Estate",,6321
Yau Tsim Mong,"Sky Tower, The Arch",,6322
Sham Shui Po,Fu Shun Building,,6322
Eastern,Winner Mansion,,6323
Southern,"Yee Ngar Court, South Horizons",,6324
Central & Western,"Block B, Phase 3, Kwan Yick Building",,6325
Kowloon City,"Block 4, Palm Mansions, Whampoa Garden",,6326
Kowloon City,"Block 7, Bamboo Mansions, Whampoa Garden",,6327
Yau Tsim Mong,"Sky Tower, The Arch",,6331
Yau Tsim Mong,"Sky Tower, The Arch",,6332
Sai Kung,"Tower 4, The Metropolis, Metro City",,6333
Wong Tai Sin,"Block 2, Bel Air Heights",,6334
Kowloon City,"Lok Chee Lau, Lok Man Sun Chuen",,6335
Islands,Hong Kong SkyCity Marriott Hotel,,6338
Islands,"Mun Hong House, Mun Tung Estate",,6339
Eastern,"Block B, Perfect Mount Gardens",,6341
Wong Tai Sin,Pak Lok Nursing Home Company Limited,,6342
Kowloon City,Billion Court,,6343
Wan Chai,"Block A, Tonnochy Towers",,6344
Wan Chai,Kin Lee Building,,6345
Kwun Tong,"Tak Lung House, Tak Tin Estate",,6346
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6347
Kwun Tong,"Bauhinia Court, Fulrich Garden",,6348
Tai Po,"Shin Nga House, Fu Shin Estate",,6349
Yau Tsim Mong,26 Kimberley Road,,6350
Kwun Tong,"Hang On House, Wo Lok Estate",,6351
Kwun Tong,"Tsui Yue House, Tsui Ping (North) Estate",,6354
Kwun Tong,"Yung Lai House, Yau Lai Estate",,6355
Sham Shui Po,"Begonia House, So Uk Estate",,6356
Tai Po,Lam Tsuen San Tsuen,,6357
Kwun Tong,"Kui Tai House, On Tai Estate",,6358
Kwun Tong,"Block 31, Laguna City",,6359
Kowloon City,"Tower 2, Harbourfront Landmark",,6360
Kwai Tsing,"Wah Chi Court, Wah Yuen Chuen",,6361
Yau Tsim Mong,"Hoi Yan House, Hoi Fu Court",,6362
Wong Tai Sin,"Fu Yan House, Fu Shan Estate",,6363
Southern,"Block 3, Ocean Court",,6364
Tuen Mun,"Yiu Lun House, Siu Lun Court",,6365
Eastern,"Yat Wah Mansion, Lei King Wan",,6366
Wan Chai,Hung Fook Mansion,,6367
Wan Chai,Hung Fook Mansion,,6368
Yau Tsim Mong,Lee Man Building,,6369
Sham Shui Po,Hung Hing Mansion,,6370
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",,6371
Tuen Mun,"Hing Yiu House, Tai Hing Estate",,6372
Islands,"Block 32, Crestmont Villa, Peninsula Village, Phase 4, Discovery Bay",,6373
Kwun Tong,"Block 6, Richland Gardens",,6374
Tuen Mun,"Low Block, King Kwai House, Shan King Estate",,6375
Kwun Tong,"Block 6, Richland Gardens",,6376
Wong Tai Sin,Fung Wong Building,,6377
Southern,"Yee Ngar Court, South Horizons",,6378
Tsuen Wan,"Wing Hong House, Fuk Loi Estate",,6379
Sham Shui Po,"Hoi Shun House, Hoi Lai Estate",,6380
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Chung Willow Lodge,,6381
Kowloon City,"King's Court, 11 Man Fuk Road",,6382
Kowloon City,"King's Court, 11 Man Fuk Road",,6383
Sai Kung,"Tower 5, Monterey",,6384
Sai Kung,"Block 2, Fu Ning Garden",,6385
Sham Shui Po,"Hoi Hei House, Hoi Lai Estate",,6386
Tsuen Wan,"Tak Fam Building, 18 Tak Wah Street",,6387
Southern,"Yee Ngar Court, South Horizons",,6388
Islands,Pui O San Wai Tsuen,,6389
Yau Tsim Mong,Ramada Hong Kong Grand,,6390
Yau Tsim Mong,Best Western Plus Hotel Kowloon,,6391
Southern,"Hoi Lung Court, Aberdeen Centre",,6392
Kwun Tong,"Lei Sang House, Lei Yue Mun Estate",,6393
Kwun Tong,"Sau Ho House, Sau Mau Ping South Estate",,6394
Tsuen Wan,"Block 8, Tsuen King Garden",,6395
Tsuen Wan,"Wing Hong House, Fuk Loi Estate",,6396
Tuen Mun,"Block 1, Hong Lai Garden",,6397
Wan Chai,Gordon House,,6398
Kwun Tong,"Block 23, Laguna City",,6398
Yau Tsim Mong,"Tower 2, Harbour Green",,6399
Kowloon City,"Tower 26, Parc Oasis",,6401
Kwai Tsing,"Block 3, Highland Park",,6402
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6403
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6404
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6405
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6406
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6407
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6408
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6409
Kwun Tong,"Bik Lai House, Yau Lai Estate",,6410
Yuen Long,El Castillo,,6411
Kowloon City,"Tower 1A, Upper East",,6412
Tsuen Wan,"Block 5, Phase 2, Belvedere Garden",,6413
Yuen Long,"Shui Fai House, Tin Shui Estate",,6414
Central & Western,Kam Wa Building,,6415
Sham Shui Po,38 Fuk Wing Street,,6416
Islands,"Block 32, Crestmont Villa, Peninsula Village,Phase 4, Discovery Bay",,6417
Yau Tsim Mong,"Tower 5, Central Park",,6418
Sha Tin,"Shek Fai House, Chun Shek Estate",,6419
Eastern,"Yat Wah Mansion, Lei King Wan",,6420
Sha Tin,"Tower 3, Phase 1, Festival City",,6421
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6422
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6423
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6424
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6425
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6426
Yuen Long,"Block 1, Phase 6, Maywood Court",,6427
Central & Western,Siu Cheung Building,,6428
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6429
Tuen Mun,"Leung Chun House, Leung King Estate",,6430
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6431
Kwun Tong,"Tak Lok House, Tak Tin Estate",,6432
Eastern,"Hing Tsui House, Hing Wah (I) Estate",,6433
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6434
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6435
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6436
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6437
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6438
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6439
Islands,Hong Kong SkyCity Marriott Hotel,,6440
Kwun Tong,"Chun Moon House, Ko Chun Court",,6444
Kowloon City,Cumberland Road,,6447
Sham Shui Po,38 Fuk Wing Street,,6448
North,"Yung Wa House, Yung Shing Court",,6449
Kwai Tsing,"Fung King House, Lai King Estate",,6450
Yuen Long,"Cheuk Ping House, Long Ping Estate",,6451
Yau Tsim Mong,"Sky Tower, The Arch",,6452
Kwun Tong,"Shun King Building, Ka Lok Street",,6453
Sham Shui Po,27-29 Shek Kip Mei Street,,6454
Kwai Tsing,"Wang Sum House, Cheung Wang Estate",,6455
Kwai Tsing,"Shek Yi House, Shek Lei (II) Estate",,6456
Tai Po,JC Castle,,6457
Tai Po,JC Castle,,6458
Eastern,Victoria Tower,,6459
North,Ma Shi Po,,6460
Yuen Long,"Nang Fu House, Tin Fu Court",,6461
Yuen Long,"Yan Sui House, Tin Yan Estate",,6462
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6463
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6464
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6465
Wong Tai Sin,"Lung San House, Lung Poon Court",,6466
Wan Chai,Capital Building,,6467
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6468
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6469
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6470
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6471
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6472
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6473
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6474
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6475
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6476
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6477
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6478
Sha Tin,"Mei Fung House, Mei Lam Estate",,6479
Sha Tin,"Tower 5, Ocean View",,6480
Wong Tai Sin,"Oi Chung House, Tsz Oi Court",,6481
Kwun Tong,"Tak Shui House, Tak Tin Estate",,6482
Yuen Long,"Block 4, Phase 6, Maywood Court",,6483
Kowloon City,1 Mok Cheong Street,,6484
Kwai Tsing,"Chi Shek House, Shek Yam Estate",,6485
North,"Ching Yun House, Ching Ho Estate",,6486
Southern,"Wah Oi House, Wah Kwai Estate",,6487
Yau Tsim Mong,Kowloon Wholesale Fruit Market (Yau Ma Tei Fruit Market),,6488
Wong Tai Sin,"Wang Leung House, Wang Tau Hom Estate",,6489
Eastern,Han Palace Building,,6490
Kowloon City,"Chi Chun Lau, Chun Seen Mei Chuen",,6491
Islands,"Block 16, La Costa, Discovery Bay",,6492
Central & Western,"Block A, Tycoon Court",,6493
Eastern,Fu Yan Court,,6494
Kwun Tong,"Ping Chun House, Ping Tin Estate",,6495
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6496
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6497
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6498
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6499
Eastern,Tung Wah Group Of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6500
Yau Tsim Mong,Oriental Lander Hotel,,6501
Yau Tsim Mong,6 Ferry Street,,6502
Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",,6503
Kowloon City,View Court,,6504
Sai Kung,Luk Mei Tsuen,,6505
Sha Tin,Wong Chuk Yeung Village,,6506
Tuen Mun,"Fung Yu House, Sam Shing Estate",,6507
Kowloon City,Rutland Quadrant,,6508
Kwai Tsing,"Pik Kwai House, Kwai Chung Estate",,6509
Eastern,Kung Lee Building,,6510
Kwai Tsing,"Kai King Lau, Cho Yiu Chuen",,6511
Kowloon City,"Block 7, Bamboo Mansion, Whampoa Garden",,6512
Sha Tin,"Block 1, Fok On Garden",,6513
Sha Tin,"Block C, Garden Rivera",,6515
North,"Fu Ming House, Wah Ming Estate",,6516
Sha Tin,"Mei Yeung House, Mei Lam Estate",,6517
Tuen Mun,"Low Block, Oi Ming House, Yau Oi Estate",,6518
Tuen Mun,"Low Block, Oi Ming House, Yau Oi Estate",,6519
Sham Shui Po,The Sorentino,,6520
Wong Tai Sin,"Lung Yat House, Lower Wong Tai Sin Estate",,6521
North,"Fu Ming House, Wah Ming Estate",,6522
North,"Fu Tei Pai, Kwan Tei",,6523
Wong Tai Sin,Pak Lok Building,,6524
Wan Chai,"Best Western Hotel, Causeway Bay",,6525
Sham Shui Po,Sham Shui Po Building,,6526
Wong Tai Sin,Hong Keung Court,,6527
Eastern,Fong Shu Chuen Social Service Building,,6528
Kowloon City,"Hove Court, Perth Garden",,6529
Wan Chai,Hoi To Court,,6533
Yau Tsim Mong,Skypark,,6539
Yau Tsim Mong,Skypark,,6540
Sha Tin,"Yiu Yan House, Yiu On Estate",,6541
Sham Shui Po,Sham Shui Po Building,,6542
Wong Tai Sin,Hong Keung Court,,6543
Yau Tsim Mong,Lee Man Building,,6544
Sha Tin,"Yiu Yan House, Yiu On Estate",,6545
Sha Tin,"Lung Yiu House, Kam Lung Court",,6546
Sai Kung,"Tower 6, Le Point",,6547
Sha Tin,"Lung Yiu House, Kam Lung Court",,6548
Wong Tai Sin,"Wai Yuen House (Block 10), Chuk Yuen North Estate",,6549
Central & Western,New Central Mansion,,6550
Kowloon City,"Yat Man House, Ho Man Tin Estate",,6551
Sha Tin,"Shek Yuk House, Chun Shek Estate",,6552
Yau Tsim Mong,167 Fa Yuen Street,,6553
Kwun Tong,"Sau Ho House, Sau Mau Ping South Estate",,6554
Wong Tai Sin,"Kwai Tung House, Tung Tau (II) Estate",,6555
Yau Tsim Mong,Po Hing Building,,6556
Tsuen Wan,"Hoi Sing Mansion, Rivera Gardens",,6557
Eastern,Fong Shu Chuen Social Service Building,,6558
Yau Tsim Mong,Skypark,,6559
Kwun Tong,"Block A, Cheerful Court",,6560
Sai Kung,Nam Shan Village,,6562
Central & Western,Siu Cheung Building,,6563
Kowloon City,184 Kowloon City Road,,6564
Wong Tai Sin,"Ka Ying House (Block B), Ka Keung Court",,6565
Southern,"Pik Ngan House, Shek Pai Wan Estate",,6566
Kowloon City,"Tower 7, Mantin Heights",,6567
Kowloon City,"Kwai Tung House, Tung Tau (II) Estate",,6568
Wong Tai Sin,"Yau Lung House, Choi Wan Estate",,6569
Kwun Tong,"Block 15, Laguna City",,6570
Kwun Tong,"Ying Shun House, Choi Ying Estate",,6571
Kwun Tong,"Ko Chi House, Ko Yee Estate",,6572
Sha Tin,"Kam Wai House, Kam Fung Court",,6573
Wong Tai Sin,"Suet Fung House, Fung Tak Estate",,6574
Sha Tin,Shatin Wai New Village,,6575
Eastern,"Sui Tai House, Siu Sai Wan Estate",,6576
Central & Western,Leun Hing Apartments,,6577
Tai Po,Tycoon Place,,6578
Islands,"Block 7, Tung Chung Cresent",,6579
Sha Tin,"Jubilee Court, Jubilee Gardens",,6580
Yau Tsim Mong,Skypark,,6581
Yuen Long,Fung Kong Tsuen,,6582
Yuen Long,"Block 4, Kenswood Court, Kingswood Villas",,6583
Kwai Tsing,"Fu Ngo House, Tai Wo Hau Estate",,6584
Southern,"Tower 29, Fung King Court, South Horizons",,6585
Tuen Mun,"Low Block, Oi Ming House, Yau Oi Estate",,6586
Sai Kung,"Tower 3, Metro Town",,6587
Sha Tin,"Kam Wai House, Kam Fung Court",,6588
Central & Western,To Li Court (tower 3) Ying Ga Garden,,6589
Kowloon City,"Block 4, Willow Mansions, Site 3, Whampoa Garden",,6590
Islands,"Block 11, Carmel Cove, Caribbean Coast Phase 3",,6591
Islands,Hong Kong SkyCity Marriott Hotel,,6592
Wan Chai,Kin Ga Building,,6597
Sai Kung,"Po Yan House, Po Lam Estate",,6598
Sham Shui Po,"Rock View Gardens, Yau Yat Chuen",,6599
Yau Tsim Mong,"Tower 2, The Regalia",,6600
Wong Tai Sin,"Kam Hon House, Choi Hung Estate",,6601
Central & Western,"Block C, Fulham Garden",,6602
Yau Tsim Mong,"Tower 5, Central Park",,6603
Kwai Tsing,"Block 1, Easeful Court",,6604
Kowloon City,"Hung Fai House, Hung Hom Estate",,6605
Yau Tsim Mong,1088 Canton Road,,6607
Sai Kung,"Block 4, Hong Sing Garden",,6608
Kwai Tsing,"Block 8, Kwai Shing West Estate",,6609
Southern,"Wah Shun House, Wah Fu Estate",,6610
Sham Shui Po,36 Fuk Wing Street,,6611
Sha Tin,"Lung Yiu House, Kam Lung Court",,6613
Tuen Mun,Kam Hing Building,,6614
Sha Tin,"Lee Hing House, Lee On Estate",,6616
Yau Tsim Mong,Metropark Hotel Mongkok,,6616
Kowloon City,18 Hung Wan Street,,6617
Kowloon City,"Lily Mansions, Whampoa Garden",,6618
Kwun Tong,"Block 17, Laguna City",,6619
Tai Po,JC Castle,,6620
Sha Tin,"Yiu Yan House, Yiu On Estate",,6621
Wan Chai,"Block B, Tonnochy Towers",,6623
Yau Tsim Mong,"Block 5, Prosperous Garden",,6624
Sha Tin,"Block 8, Jubilee Garden",,6625
Sham Shui Po,"Stage 2, Mei Foo Sun Chuen",,6626
Kwun Tong,"Tat Yi House, Po Tat Estate",,6627
Sham Shui Po,37 Un Chau Street,,6628
Yuen Long,"Yeung Uk Tsuen, Wang Chau",,6629
Wong Tai Sin,"Wai Yuen House, Chuk Yuen North Estate",,6630
Kowloon City,1 Mok Cheong Street,,6631
Kowloon City,1 Mok Cheong Street,,6632
Eastern,"Tower 6, Grand Promenade",,6633
Central & Western,"Block A, Phase 3, Kwan Yick Building",,6634
Sha Tin,"Tower 5, Vista Paradiso",,6635
Sham Shui Po,"Rock View Gardens, Yau Yat Chuen",,6636
Sai Kung,"Choi Kwai House, Choi Ming Court",,6637
Kwun Tong,"Sau Wai House, Sau Mau Ping Estate",,6638
Yau Tsim Mong,Kin Wong Mansion,,6639
Sai Kung,"Tak Fu House, Hau Tak Estate",,6640
Islands,Headland Hotel,,6641
Tai Po,Mei Shing Building,,6644
Yuen Long,Ho King Building,,6645
Yau Tsim Mong,Observatory Mansion,,6647
Sha Tin,"Tower 3, Sausalito",,6648
Kwun Tong,"Tak Yee House, Tak Tin Estate",,6649
North,"Ping Hay House, Tai Ping Estate",,6650
Kowloon City,"Tak Kei House, Tak Long Estate",,6651
Sham Shui Po,Po Hing Building,,6652
Wan Chai,Majestic Court,,6653
Eastern,Nam Tin Building,,6654
Islands,"Yu Yat House, Yat Tung Estate",,6655
Tai Po,"Yee Leung House, Yee Nga Court",,6656
North,"Yung Wui House, Yung Shing Court",,6657
Yuen Long,Fortune Garden,,6658
Eastern,"Hing Cho House, Hing Tung Estate",,6659
Kwai Tsing,Dorsett Tsuen Wan Hong Kong,,6660
Yau Tsim Mong,Dorsett Mongkok Hong Kong,,6661
Kowloon City,Regal Oriental Hotel,,6662
Kwai Tsing,"Silka Tsuen Wan, Hong Kong",,6662
Kwun Tong,"Cheung Pak House, Hong Pak Court",,6663
Sham Shui Po,"Un Tai House, Un Chau Estate",,6664
Sai Kung,"Phase 2B - Le Prime, LOHAS Park",,6665
Yau Tsim Mong,"Block 6, Charming Garden",,6666
Sham Shui Po,"Tower 2B, Phase 2A, Cullinan West",,6667
Sham Shui Po,"Hoi Ming House, Hoi Lai Estate",,6668
Sham Shui Po,"Hoi Ming House, Hoi Lai Estate",,6669
Kowloon City,"Tower 3, The Astoria",,6670
Kwun Tong,"Sau Yin House, Sau Mau Ping Estate",,6671
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",,6672
Tuen Mun,"Ting Hong House, On Ting Estate",,6673
Yuen Long,"Tower 3, The Reach",,6674
Sha Tin,"Block F, Phase 4, Sunshine City",,6675
Kwun Tong,"Block 6, Richland Gardens",,6676
Wong Tai Sin,Hong King Building,,6677
Central & Western,Casa Bella,,6678
Wan Chai,173 Hennessy Road,,6679
Wan Chai,173 Hennessy Road,,6680
Sham Shui Po,Apollo Building,,6681
Eastern,"Block D, Kornhill",,6682
Kwai Tsing,"Block 8, Kwai Shing West Estate",,6683
Eastern,"Block 1, Cheerful Garden",,6684
Kwai Tsing,"Blcok 8, Kwai Shing West Estate",,6685
Southern,"Yee Fung Court, South Horizons",,6687
Tai Po,JC Castle,,6689
Tai Po,"Kwong Chi House, Kwong Fuk Estate",,6690
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,6691
Eastern,Tung Shing Court,,6692
Yuen Long,"Block 1, Maywood Court, Kingswood Villas",,6693
Eastern,"Block 2, City Garden",,6694
Sha Tin,"Tower 4, Park Belvedere",,6695
Central & Western,Lai On Building,,6697
Eastern,"Block B, Perfect Mount Gardens",,6698
Wong Tai Sin,"Luk Ching House, Choi Hung Estate",,6701
Sai Kung,"Ming Kok House, Ming Tak Estate",,6704
Tuen Mun,"Tip Yee House, Butterfly Estate",,6705
Wong Tai Sin,"Kai Fai House, Choi Wan Estate",,6706
Islands,Hong Kong Skycity Marriott Hotel,,6708
Eastern,"Block 4, Cheerful Garden",,6711
Eastern,"Wai Tsui House, Wan Tsui Estate",,6715
Wan Chai,Kin Ga Building,,6717
Yau Tsim Mong,"Tower 2, Harbour Green",,6718
Central & Western,"Block C, Fulham Garden",,6719
Eastern,King Tsui Court,,6720
Wong Tai Sin,Hong King Building,,6721
Yuen Long,"Tower 8, Central Park Towers II",,6722
Sham Shui Po,"Block 7, Stage 2, Mei Foo Sun Chuen",,6723
Yau Tsim Mong,Tung Wah Group Of Hospitals Ho Yuk Ching Willow Lodge,,6724
Kowloon City,"Block 4, Willow Mansions, Whampoa Garden",,6725
Sham Shui Po,"Hoi Wo House, Hoi Lai Estate",,6726
Kowloon City,"Hove Court, Perth Garden",,6727
Sha Tin,"Block 3, Grandway Garden",,6728
Sha Tin,"Kam Wai House, Kam Fung Court",,6729
Kowloon City,155 Kau Pui Lung Road,,6730
Sham Shui Po,Wah Sang House,,6731
Wong Tai Sin,"Kam Pik House, Choi Hung Estate",,6732
Kwun Tong,"Chun Mau House, Ko Chun Court",,6734
Kwun Tong,"Lam Wai House, Lam Tin Estate",,6735
Kwun Tong,"Block 15, Laguna City",,6736
Kwun Tong,"Tat Yi House, Po Tat Estate",,6737
Kwun Tong,"Block 27, Laguna City",,6738
Tai Po,"Block 34, Villa Castell",,6739
Kwun Tong,"Tat Chui House, Po Tat Estate",,6740
Sham Shui Po,Hang Shing Building,,6741
Central & Western,Grand City Hotel,,6742
Sha Tin,"Yiu Ping House, Yiu On Estate",,6743
Kowloon City,"Kwai Tung House, Tung Tau (2) Estate",,6744
Yau Tsim Mong,Tung Wah Group Of Hospitals Ho Yuk Ching Willow Lodge,,6745
Kowloon City,184 Kowloon City Road,,6746
Kowloon City,"Block 4, Willow Mansions, Whampoa Garden",,6747
Yuen Long,"Ching Hei House, Tin Ching Estate",,6748
Wong Tai Sin,Hong King Building,,6749
Sha Tin,"Block F, Phase 4, Sunshine City",,6750
North,"Ping Hay House, Tai Ping Estate",,6751
Kowloon City,184 Kowloon City Road,,6752
Sha Tin,"Block F, Phase 4, Sunshine City",,6753
Sham Shui Po,Shamshuipo Building,,6754
Wong Tai Sin,Shung Ling Building,,6755
Wong Tai Sin,Shung Ling Building,,6756
Yau Tsim Mong,Carnival Mansion,,6757
Tsuen Wan,"Block 12, Park Island",,6758
Kwun Tong,"Chun Tat House, On Tat Estate",,6759
Wong Tai Sin,"Lung San House, Lung Poon Court",,6760
Yau Tsim Mong,Shui Heung Yuen Apartments,,6761
Kwun Tong,Yan On Building,,6762
Eastern,"Yiu Hei House, Tung Hei Court",,6763
Southern,"Block 3, South Wave Court",,6764
Kowloon City,"Po Man House, Oi Man Estate",,6765
Kwun Tong,"Sau Yin House, Sau Mau Ping Estate",,6766
Kowloon City,"Mei Tak House, Mei Tung Estate",,6767
Kowloon City,"Po Man House, Oi Man Estate",,6768
Kowloon City,Eldex Industrial Building,,6769
Tsuen Wan,"Block 1, Sunny Villa",,6770
Sham Shui Po,Po Hing Building,,6772
Southern,"Block 2, South Wave Court",,6773
Tsuen Wan,Tak Fam Building,,6775
Tsuen Wan,Tak Fam Building,,6776
Islands,Pui O San Wai Tsuen,,6777
Tsuen Wan,"Hoi Yin Mansion, Riviera Gardens",,6778
Tsuen Wan,"Hoi Yin Mansion, Riviera Gardens",,6779
Central & Western,Po Tak Building,,6780
Wan Chai,"Block A, Nicholson Tower",,6781
Southern,"Tower 10, Hong Kong Parkview",,6782
Kwun Tong,"Block M, Amoy Gardens",,6783
Southern,Aberdeen Harbour Mansion,,6784
Yau Tsim Mong,Good Luck House,,6785
Sai Kung,"Block 9, Le Point, Metro Town",,6786
Kwai Tsing,"Ching Yeung House, Cheung Ching Estate",,6787
Tuen Mun,"Luk Tin House, Yan Tin Estate",,6788
Tuen Mun,"Luk Tin House, Yan Tin Estate",,6789
